Distance,Force
152.6735,501.37183
152.6735,501.37183
150.70654,507.87238
150.70654,507.87238
148.74072,514.5398
148.74072,514.5398
146.78021,521.3659
146.78021,521.3659
144.82495,528.3565
144.82495,528.3565
142.87766,535.5075
142.87766,535.5075
140.93806,542.8252
140.93806,542.8252
139.00713,550.3117
139.00713,550.3117
137.08145,557.9863
137.08145,557.9863
135.16185,565.8528
135.16185,565.8528
133.24481,573.9333
133.24481,573.9333
131.33162,582.2309
131.33162,582.2309
129.4252,590.7414
129.4252,590.7414
127.52966,599.45355
127.52966,599.45355
125.64426,608.37787
125.64426,608.37787
123.773346,617.5001
123.773346,617.5001
121.912186,626.85046
121.912186,626.85046
120.06234,636.4288
120.06234,636.4288
118.22076,646.2596
118.22076,646.2596
116.382324,656.3812
116.382324,656.3812
114.546524,666.8099
114.546524,666.8099
112.7147,677.55145
112.7147,677.55145
110.88902,688.60693
110.88902,688.60693
109.07164,699.9765
109.07164,699.9765
107.26376,711.6653
107.26376,711.6653
105.46526,723.68726
105.46526,723.68726
103.67933,736.0342
103.67933,736.0342
101.91244,748.671
101.91244,748.671
100.17391,761.5359
100.17391,761.5359
98.469124,774.5877
98.469124,774.5877
96.804955,787.76746
96.804955,787.76746
95.19876,800.92053
95.19876,800.92053
93.6566,813.96924
93.6566,813.96924
92.170044,826.9563
92.170044,826.9563
90.75145,839.7421
90.75145,839.7421
89.46207,851.7113
89.46207,851.7113
88.24949,863.28296
88.24949,863.28296
87.121735,874.33093
87.121735,874.33093
86.09814,884.60626
86.09814,884.60626
85.19085,893.9181
85.19085,893.9181
84.40955,902.0954
84.40955,902.0954
83.80951,908.47784
83.80951,908.47784
83.39417,912.94885
83.39417,912.94885
83.211174,914.93274
83.211174,914.93274
83.333755,913.60284
83.333755,913.60284
83.79846,908.5962
83.79846,908.5962
84.573975,900.3621
84.573975,900.3621
85.67126,888.9633
85.67126,888.9633
87.00587,875.4821
87.00587,875.4821
88.53349,860.5445
88.53349,860.5445
90.18462,844.96216
90.18462,844.96216
91.89645,829.3919
91.89645,829.3919
93.64116,814.10205
93.64116,814.10205
95.39683,799.27484
95.39683,799.27484
97.15492,784.95874
97.15492,784.95874
98.9148,771.1326
98.9148,771.1326
100.68033,757.7431
100.68033,757.7431
102.44424,744.8222
102.44424,744.8222
104.21178,732.3093
104.21178,732.3093
105.9837,720.1803
105.9837,720.1803
107.765205,708.38434
107.765205,708.38434
109.54708,696.96606
109.54708,696.96606
111.33227,685.88983
111.33227,685.88983
113.11988,675.1459
113.11988,675.1459
114.91069,664.71484
114.91069,664.71484
116.696815,654.6274
116.696815,654.6274
118.489876,644.80414
118.489876,644.80414
120.2927,635.2201
120.2927,635.2201
122.10519,625.8677
122.10519,625.8677
123.92551,616.74805
123.92551,616.74805
125.751114,607.8649
125.751114,607.8649
127.5797,599.2203
127.5797,599.2203
129.41013,590.80963
129.41013,590.80963
131.24295,582.6213
131.24295,582.6213
133.07625,574.65485
133.07625,574.65485
134.915,566.8805
134.915,566.8805
136.7607,559.28546
136.7607,559.28546
138.61322,551.8644
138.61322,551.8644
140.47124,544.6164
140.47124,544.6164
142.33293,537.54266
142.33293,537.54266
144.19662,530.6429
144.19662,530.6429
146.06161,523.91345
146.06161,523.91345
147.92827,517.3468
147.92827,517.3468
149.79782,510.93286
149.79782,510.93286
151.67162,504.66202
151.67162,504.66202
153.55049,498.5268
153.55049,498.5268
155.4343,492.5235
155.4343,492.5235
157.32208,486.65073
157.32208,486.65073
159.2124,480.90887
159.2124,480.90887
161.1041,475.2968
161.1041,475.2968
162.9966,469.81195
162.9966,469.81195
164.89026,464.44894
164.89026,464.44894
166.78603,459.20126
166.78603,459.20126
168.68489,454.0626
168.68489,454.0626
170.58751,449.0278
170.58751,449.0278
172.49379,444.09402
172.49379,444.09402
174.40297,439.2603
174.40297,439.2603
176.314,434.52612
176.314,434.52612
178.22601,429.89047
178.22601,429.89047
180.1386,425.35147
180.1386,425.35147
182.05205,420.90524
182.05205,420.90524
183.96701,416.54758
183.96701,416.54758
185.88432,412.27408
185.88432,412.27408
187.80446,408.08127
187.80446,408.08127
189.72734,403.96704
189.72734,403.96704
191.65956,399.9156
191.65956,399.9156
193.604,395.9197
193.604,395.9197
195.56311,391.97366
195.56311,391.97366
197.53568,388.07916
197.53568,388.07916
199.52122,384.23642
199.52122,384.23642
201.51677,380.4503
201.51677,380.4503
203.51535,376.7324
203.51535,376.7324
205.49756,373.11612
205.49756,373.11612
207.435,369.64792
207.435,369.64792
209.29881,366.3718
209.29881,366.3718
211.07875,363.2969
211.07875,363.2969
212.7507,360.45523
212.7507,360.45523
214.29633,357.86752
214.29633,357.86752
215.73492,355.49216
215.73492,355.49216
217.05019,353.34784
217.05019,353.34784
218.27011,351.382
218.27011,351.382
219.46384,349.47937
219.46384,349.47937
220.63237,347.63675
220.63237,347.63675
221.80365,345.80923
221.80365,345.80923
222.98602,343.98383
222.98602,343.98383
224.18248,342.1561
224.18248,342.1561
225.39406,340.32504
225.39406,340.32504
226.61996,338.49213
226.61996,338.49213
227.85805,336.6609
227.85805,336.6609
229.10577,334.8354
229.10577,334.8354
230.3612,333.01852
230.3612,333.01852
231.62389,331.21088
231.62389,331.21088
232.89479,329.41122
232.89479,329.41122
234.1757,327.617
234.1757,327.617
235.4656,325.8299
235.4656,325.8299
236.76791,324.04526
236.76791,324.04526
238.08237,322.26367
238.08237,322.26367
239.40736,320.48755
239.40736,320.48755
240.74092,318.71957
240.74092,318.71957
242.08145,316.96188
242.08145,316.96188
243.4285,315.21515
243.4285,315.21515
244.78267,313.4784
244.78267,313.4784
246.14536,311.74997
246.14536,311.74997
247.47566,310.08093
247.47566,310.08093
248.86792,308.35315
248.86792,308.35315
247.504,310.04556
247.504,310.04556
246.22205,311.6533
246.22205,311.6533
244.96207,313.2498
244.96207,313.2498
243.67874,314.89273
243.67874,314.89273
242.41788,316.52383
242.41788,316.52383
241.25325,318.04553
241.25325,318.04553
240.19405,319.44223
240.19405,319.44223
239.10167,320.89557
239.10167,320.89557
238.07004,322.2803
238.07004,322.2803
237.07867,323.62228
237.07867,323.62228
236.13467,324.91055
